"i"	"d"	"f"	"o"	"n"
"1"	0	0	0	0	0
"2"	1	3	6	NA	NA
"3"	1	3	7	NA	NA
"4"	1	3	8	-0.470588235294118	0.346224302869937
"5"	1	3	9	0.0289885517826224	0.95652935238984
"6"	1	3	10	-0.173931310695735	0.741733927731628
"7"	1	3	11	-0.579771035652448	0.227783956715016
"8"	1	3	12	-0.231908414260979	0.658373571260927
"9"	1	3	13	-0.0308020551816849	0.953811529208109
"10"	1	3	14	-0.579771035652448	0.227783956715016
"11"	1	3	15	0.0289885517826224	0.95652935238984
"12"	1	3	16	-0.173931310695735	0.741733927731628
"13"	1	3	17	-0.579771035652448	0.227783956715016
"14"	1	3	18	0.0579771035652448	0.913131785162327
"15"	1	3	19	0.376851173174092	0.461482840350805
"16"	1	3	20	0.11595420713049	0.826848213385815
"17"	1	3	21	0.231908414260979	0.658373571260927
"18"	1	3	22	0.231908414260979	0.658373571260927
"19"	1	3	23	-0.463816828521959	0.35416429843623
"20"	1	3	24	0.0579771035652448	0.913131785162327
"21"	1	3	25	0.376851173174092	0.461482840350805
"22"	1	3	26	0.11595420713049	0.826848213385815
"23"	1	3	27	-0.25	0.6328125
"24"	1	3	28	NA	NA
"25"	1	3	29	-0.0289885517826224	0.95652935238984
"26"	1	3	30	0.400426717361903	0.431462445415476
"27"	1	3	31	NA	NA
"28"	1	3	32	0.202919862478357	0.699797968157019
"29"	1	3	33	0.308823529411765	0.551491260431508
"30"	1	3	34	NA	NA
"31"	1	3	35	-0.318874069608847	0.537900560470205
"32"	1	3	36	0.318874069608847	0.537900560470205
"33"	1	3	37	-0.753702346348183	0.0835232813732597
"34"	1	3	38	-0.637748139217693	0.17307111024126
"35"	1	4	6	NA	NA
"36"	1	4	7	NA	NA
"37"	1	4	8	NA	NA
"38"	1	4	9	NA	NA
"39"	1	4	10	NA	NA
"40"	1	4	11	NA	NA
"41"	1	4	12	NA	NA
"42"	1	4	13	NA	NA
"43"	1	4	14	NA	NA
